"","subject","activity","tbody_acceleration_mean_x","tbody_acceleration_mean_y","tbody_acceleration_mean_z","tbody_acceleration_sd_x","tbody_acceleration_sd_y","tbody_acceleration_sd_z","tbody_gyro_mean_x","tbody_gyro_mean_y","tbody_gyro_mean_z","tbody_gyro_sd_x","tbody_gyro_sd_y","tbody_gyro_sd_z","fbody_acceleration_mean_x","fbody_acceleration_mean_y","fbody_acceleration_mean_z","fbody_acceleration_sd_x","fbody_acceleration_sd_y","fbody_acceleration_sd_z"
"1","1","LAYING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","SITTING",NA,NA,NA,NA,NA,NA,-0.932174472374468,-0.985525956595745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","STANDING",NA,NA,0.278917629056604,NA,-0.107199208962264,-0.961057608735849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","WALKING",NA,NA,0.277330758736842,NA,-0.0918747569125263,-0.242047730157895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1","WALKING_DOWNSTAIRS",NA,NA,0.289188320408163,NA,-0.0706313127632653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1","WALKING_UPSTAIRS",NA,NA,0.255461689622641,NA,-0.0851857408511321,-0.312943463830189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","10","LAYING",NA,NA,0.280230574137931,NA,-0.114151512056897,-0.938660354172414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","10","SITTING",NA,NA,0.270612056481481,NA,-0.092928817537037,-0.939151649462963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","10","STANDING",NA,NA,0.276650300681818,NA,-0.0948990461772727,-0.861368902272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","10","WALKING",NA,NA,0.278574076603774,NA,-0.0930498962981132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
